"obs","island","sagrei.present","sagrei.type","species","sex","svl","morph.good","mass","head.ht","hindlimb.phalanx","hindlimb.metatarsal","tibia","fibula","femur","pelvis.width","metacarpal","ulna","radius","humerus","shoulder.width","leg.length","opening.inlever","closing.inlever","whole.head","outlever","snout.plus.eye","snout","real.eye.length","frontal.parietal.to.snout","braincase.width","head.width.retroarticulars","head.width.jugals","head.width.quadrates","snout.width.eye","real.lower.jaw.length","real.quadrate.to.symphisis","real.jugal.to.symphasis","real.orbit.to.symphysis"
"G328","yang",1,2,"carolinensis","f",50.46,1,2.2,4.84,2.891,4.894,7.522,7.417,9.652,4.925,1.808,5.598,4.949,7.578,4.903,24.959,1.252,2.624,12.904,11.652,9.029,4.448,4.829,10.077,2.339,6.011,7.18,7.348,4.162,13.25,12.218,9.716,4.911
"G330","yang",1,2,"carolinensis","m",57.28,1,2.6,5.81,3.19,5.165,8.364,8.416,10.765,5.101,2.213,6.447,5.439,8.606,6.052,27.484,1.692,3.297,16.698,15.006,11.709,6.361,5.698,12.709,2.134,7.058,8.905,8.645,4.978,17.067,15.616,12.528,6.83
"G331","yang",1,2,"carolinensis","m",53.27,0,2.3,4.9,3.163,5.309,8.413,8.293,10.469,4.268,2.018,6.255,5.418,8.195,5.281,27.354,1.388,2.629,14.075,12.687,10.058,5.126,5.211,10.328,2.483,6.803,7.96,7.837,4.595,14.48,13.278,10.817,5.618
"G332","yang",1,2,"carolinensis","m",57.26,1,2.8,5.69,2.911,5.276,8.642,8.747,11.171,4.728,2.111,6.567,5.714,8.648,5.471,28,1.857,3.237,15.712,13.855,10.618,5.572,5.361,11.712,2.19,6.57,8.285,8.19,4.667,16.052,14.447,11.397,6.041
"G333","yang",1,2,"carolinensis","m",53.68,1,2.3,5.2,3.336,5.06,8.35,8.371,10.545,4.426,1.832,6.378,5.481,8.185,5.228,27.291,1.491,3.337,15.735,14.245,10.908,6.147,5.051,10.96,2.496,6.392,7.977,8.165,4.6,16.057,14.818,11.614,6.563
"G338","crescent",0,0,"carolinensis","m",61.07,1,4,6.27,3.539,5.731,9.374,9.412,11.184,5.606,2.388,7.159,6.04,9.087,6.453,29.828,1.832,3.85,17.631,15.798,11.949,6.26,6.124,13.481,2.596,8.48,9.727,9.357,5.195,18.133,16.477,12.901,6.778
"G341","crescent",0,0,"carolinensis","m",56.69,1,2.5,5.65,3.087,5.286,8.341,8.153,10.533,4.971,2.255,6.369,5.526,8.394,6.153,27.247,1.859,3.382,16.812,14.952,11.571,6.383,5.528,12.856,2.573,7.718,8.765,8.953,4.955,17.249,15.608,12.373,6.847
"G342","crescent",0,0,"carolinensis","m",57.43,1,2.8,5.66,3.472,5.661,9.248,9.068,11.625,5.295,2.014,6.863,5.709,9.065,6.076,30.006,1.952,3.237,17.283,15.331,12.093,6.57,6.014,12.665,2.483,7.237,9.046,8.856,4.285,17.657,15.957,12.911,6.911
"G345","crescent",0,0,"carolinensis","m",57.8,1,3.2,5.53,3.466,5.489,8.716,8.56,11.128,5.393,2.26,6.722,5.515,9.225,6.386,28.799,1.893,3.299,16.597,14.703,11.404,5.919,5.868,12.423,2.434,8.055,9.026,9.026,4.856,17.078,15.38,12.264,6.398
"G346","crescent",0,0,"carolinensis","m",58.65,1,3.9,6.21,3.672,5.73,9.232,9.213,11.395,4.99,2.247,7.148,6.029,9.225,6.576,30.029,1.806,3.133,16.13,14.324,11.191,5.678,5.958,11.774,2.499,8.282,9.787,9.248,5.272,16.653,15.052,12.214,6.26
"G347","crescent",0,0,"carolinensis","m",55.02,1,2.7,5.28,3.398,5.417,8.713,8.665,10.699,4.719,2.084,6.603,5.734,8.446,5.855,28.227,1.68,3.274,15.448,13.769,10.495,5.49,5.345,11.354,2.501,7.307,8.48,8.469,4.726,15.875,14.405,11.319,5.977
"G349","channel",1,2,"carolinensis","m",57.2,1,3.7,5.52,3.368,5.474,8.84,8.775,10.586,5.066,2.046,6.49,5.647,8.815,6.192,28.268,1.88,3.367,16.333,14.452,11.085,5.589,5.838,11.844,2.501,7.802,8.949,9.055,5.014,16.792,15.145,11.954,6.126
"G350","channel",1,2,"carolinensis","m",51.14,1,2.4,4.7,2.993,5.238,7.898,7.893,10.032,4.321,1.957,5.78,5.082,7.74,5.259,26.161,1.367,2.584,13.672,12.305,9.721,4.971,5.02,10.577,2.15,6.071,7.636,7.524,4.394,14.005,12.867,10.444,5.434
"G351","channel",1,2,"carolinensis","m",59.82,1,4.3,6.07,3.534,5.683,9.111,9.12,11.015,5.259,2.343,6.715,5.687,9.16,6.419,29.343,1.909,3.431,17.877,15.968,12.537,6.719,6.168,13.153,2.483,7.147,9.058,8.963,4.96,18.23,16.585,13.33,7.162
"G352","channel",1,2,"carolinensis","m",51.94,1,2.7,5.12,3.055,5.225,8.171,8.222,9.943,4.214,2.01,6.129,5.394,8.138,5.076,26.394,1.639,2.821,14.059,12.42,9.599,5.051,4.892,10.267,2.64,6.964,7.967,7.846,4.364,14.484,13.025,10.393,5.502
"G358","yin",1,1,"carolinensis","f",52.14,0,2.3,5.08,2.928,4.693,7.425,7.553,9.98,5.181,1.927,5.715,4.832,7.9,5.609,25.026,1.652,2.504,13.411,11.759,9.255,4.66,4.9,9.787,2.223,6.539,7.751,7.564,4.353,13.804,12.352,10.034,5.143
"G359","yin",1,1,"carolinensis","m",59.82,1,3.9,5.87,3.432,5.686,8.805,8.779,10.895,4.951,2.286,6.774,5.945,9.129,6.264,28.818,1.58,3.48,16.272,14.692,11.212,5.582,6.043,11.851,2.586,8.024,9.353,9.157,4.959,16.759,15.388,12.148,6.108
"G363","lizard",1,1,"carolinensis","m",58.5,0,3.1,5.52,3.564,5.682,9.343,9.247,11.206,4.654,2.121,6.873,6.156,9.07,5.552,29.795,1.69,3.663,16.578,14.888,11.225,6.067,5.492,11.475,2.492,7.11,8.5,8.282,4.728,16.955,15.453,12.002,6.511
"G366","lizard",1,1,"carolinensis","f",46.44,1,1.5,4.49,2.755,4.48,7.245,7.191,9.047,4.229,1.817,4.997,5.122,7.2,4.601,23.527,1.227,2.22,11.754,10.528,8.307,3.999,4.575,9.116,2.316,5.447,6.624,6.413,3.554,12.066,11.005,8.943,4.376
"G368","lizard",1,1,"carolinensis","m",53.46,1,2.5,5.24,3.273,5.169,8.293,8.308,10.371,4.579,2.196,6.327,5.536,8.592,5.419,27.106,1.596,2.99,14.558,12.962,9.972,5.199,5.016,10.692,2.516,6.645,7.696,7.802,4.619,14.933,13.537,10.689,5.689
"G371","lizard",1,1,"carolinensis","m",59.1,1,3.5,5.91,3.658,5.969,9.356,9.3,11.45,5.267,2.496,7.039,6.075,9.509,6.155,30.433,1.866,3.438,17.192,15.326,11.888,6.614,5.567,12.283,2.587,7.595,8.929,9.118,5.363,17.607,15.99,12.698,7.137
"G373","lizard",1,1,"carolinensis","m",58.05,1,3.7,5.87,3.515,5.609,9.218,9.118,11.145,5.152,2.397,6.909,6.156,9.241,6.295,29.487,1.669,3.573,16.634,14.966,11.393,6.247,5.577,12.766,2.672,7.821,9.068,9.347,4.769,17.088,15.678,12.262,6.687
"G376","lizard",1,1,"carolinensis","f",43.41,1,1.4,4.48,2.831,4.798,7.448,7.232,9.176,4.675,1.849,5.26,4.715,7.193,4.855,24.253,1.286,2.238,11.808,10.522,8.284,4,4.502,8.761,2.381,5.431,6.573,6.476,3.814,12.116,11.009,8.912,4.431
"G378","hook",1,2,"carolinensis","unk",45.12,1,1.5,4.46,2.853,4.11,6.991,6.932,8.763,4.401,1.662,5.241,4.589,7.039,4.775,22.717,1.198,2.297,11.59,10.392,8.095,3.922,4.429,8.915,2.397,6.025,6.602,6.697,3.638,11.976,10.918,8.742,4.323
"G379","hook",1,2,"carolinensis","m",61.59,1,4.1,6.13,3.889,6.029,9.464,9.5,11.627,5.361,2.376,7.383,6.554,9.485,6.475,31.009,1.942,3.511,17.087,15.145,11.634,6.49,5.557,12.606,2.505,8.74,9.151,9.337,4.949,17.637,15.848,12.502,6.946
"G381","hook",1,2,"carolinensis","m",53.84,1,2.7,5.72,3.293,5.426,8.716,8.773,11.01,4.61,1.994,6.74,5.857,8.721,5.664,28.445,1.63,3.16,15.242,13.612,10.452,5.421,5.42,11.209,2.388,7.371,8.457,8.363,4.431,15.681,14.24,11.275,5.856
"G382","hook",1,2,"carolinensis","f",47.53,1,2,4.98,2.849,4.348,7.125,7.004,9.109,5.079,1.73,5.424,4.629,7.171,5.411,23.431,1.331,2.294,11.916,10.585,8.291,3.816,4.76,9.249,2.668,6.676,7.144,7.057,3.909,12.375,11.158,9.028,4.288
"G384","hook",1,2,"carolinensis","m",58.97,1,3.8,6.09,3.663,5.677,9.164,9.104,11.394,5.236,2.325,7.104,6.215,9.235,6.732,29.898,1.862,3.429,17.171,15.309,11.88,6.621,5.681,13.445,2.87,8.872,9.258,9.532,4.973,17.735,16.034,12.75,7.073
"G393","yang",1,2,"carolinensis","m",57.38,1,3.3,5.85,3.721,5.534,8.829,9.034,11.318,5.017,2.192,6.784,5.842,8.78,6.364,29.402,1.781,3.418,16.089,14.308,10.891,5.537,5.658,12.417,2.602,7.027,8.755,8.76,5.102,16.468,14.964,11.738,6.096
"G394","yang",1,2,"carolinensis","m",59.72,1,4,5.89,3.619,5.514,8.94,9.014,11.314,4.963,2.113,6.845,5.794,9.1,6.201,29.387,1.829,3.274,16.341,14.512,11.239,5.734,5.919,12.257,2.406,7.025,9.159,8.763,4.816,16.714,15.159,12.136,6.219
"G395","yang",1,2,"carolinensis","m",56.05,1,2.9,5.64,3.308,5.599,8.785,8.662,10.619,4.784,2.105,6.378,5.601,9.226,5.36,28.311,1.631,3.198,15.705,14.074,10.876,5.68,5.538,11.544,2.672,6.776,8.697,8.404,4.864,16.067,14.688,11.713,6.179
"G396","yang",1,2,"carolinensis","m",59.7,1,3.5,6.03,3.63,5.606,8.74,8.796,11.266,5.154,2.305,6.901,5.835,8.834,6.203,29.242,1.862,3.1,16.411,14.549,11.449,5.693,6.149,11.737,2.287,7.639,9.254,9.071,4.96,16.85,15.24,12.348,6.21
"G397","yang",1,2,"carolinensis","f",48.96,1,1.9,4.52,2.693,4.292,6.822,6.956,8.897,4.655,1.657,5.027,4.433,7.011,5,22.704,1.212,2.458,12.005,10.793,8.335,3.999,4.637,8.865,2.624,5.904,6.977,6.851,3.685,12.362,11.323,9.036,4.403
"G400","pine",0,0,"carolinensis","f",44.91,1,1.6,4.33,2.797,4.013,6.791,6.722,8.638,4.09,1.702,4.948,4.238,7.072,4.638,22.239,1.433,2.067,11.573,10.14,8.073,3.846,4.421,8.647,2.564,5.939,6.791,6.568,4.204,11.948,10.658,8.758,4.383
"G401","pine",0,0,"carolinensis","f",44.68,1,1.6,4.01,2.56,3.999,6.633,6.612,8.64,4.057,1.56,4.951,4.029,6.848,4.774,21.832,1.154,1.948,11.053,9.899,7.951,3.706,4.488,8.373,2.523,5.506,6.716,6.645,3.803,11.391,10.442,8.631,4.166
"G402","pine",0,0,"carolinensis","f",47.6,1,2,4.49,2.776,4.308,7.204,7.265,9.398,4.492,1.822,5.293,4.556,7.719,5.314,23.686,1.354,2.393,12.212,10.858,8.465,4.164,4.536,8.613,2.388,6.183,7.004,7.287,4.122,12.598,11.453,9.161,4.646
"G404","pine",0,0,"carolinensis","m",53.74,1,2.8,5.55,3.211,5.286,8.361,8.333,10.327,4.761,2.135,6.367,5.687,8.558,5.54,27.185,1.664,3.334,15.622,13.958,10.624,5.715,5.251,12.007,2.476,6.954,8.393,7.999,4.67,16.004,14.519,11.422,6.173
"G405","pine",0,0,"carolinensis","f",47.14,1,2.1,4.57,2.632,4.239,6.715,6.695,8.963,4.596,1.722,5.095,4.324,7.04,4.94,22.549,1,2.428,11.188,10.188,7.761,3.857,4.125,8.475,2.19,5.354,6.761,6.287,4.096,11.504,10.662,8.465,4.367
"G406","pine",0,0,"carolinensis","m",49.7,1,2,4.97,2.965,4.921,7.743,7.827,9.772,4.697,2.059,6.045,5.207,7.913,5.096,25.401,1.549,2.6,13.698,12.149,9.549,5,4.819,9.815,2.326,6.615,7.468,7.413,4.293,14.092,12.702,10.253,5.442
"G407","pine",0,0,"carolinensis","m",51.92,1,2.1,4.96,3.267,5.049,8.107,8.148,10.445,4.444,2.008,6.228,5.433,8.244,5.238,26.868,1.433,2.907,13.49,12.057,9.15,4.817,4.609,10.2,2.388,6.682,7.332,7.528,4.199,13.898,12.631,9.857,5.255
"G408","channel",1,2,"carolinensis","m",51.94,1,2.6,5.05,3.149,4.943,8.111,8.039,10.209,4.264,1.936,6.058,5.332,8.213,4.983,26.412,1.468,2.89,14.813,13.345,10.455,5.477,5.266,10.792,2.265,5.96,7.935,7.565,4.53,15.11,13.87,11.182,5.927
"G411","channel",1,2,"carolinensis","f",49.34,1,2.4,4.67,2.791,4.585,7.009,7.015,8.95,4.623,1.75,5.302,4.68,7.1,5.079,23.335,1.165,2.508,11.674,10.509,8.001,3.787,4.474,8.961,2.334,6.005,6.91,6.859,3.904,12.054,11.055,8.715,4.261
"G414","channel",1,2,"carolinensis","m",56.73,1,3.4,5.86,3.24,5.498,8.602,8.745,10.712,4.927,2.231,6.588,5.706,8.757,5.877,28.052,1.709,3.398,16.443,14.734,11.336,5.949,5.763,12.363,2.317,7.862,9.038,9.078,4.949,16.907,15.418,12.203,6.443
"G415","channel",1,2,"carolinensis","m",49.01,1,1.9,4.81,2.983,4.963,7.622,7.614,9.921,4.183,1.868,5.823,5.015,7.891,4.989,25.489,1.57,2.526,13.761,12.192,9.666,5.095,4.865,10.379,2.381,6.761,7.523,7.43,4.191,14.171,12.745,10.372,5.509
"G416","channel",1,2,"carolinensis","f",47.34,1,2.3,4.59,2.791,4.327,6.972,7.055,8.961,4.694,1.711,5.063,4.509,7.217,5.255,23.051,1.383,2.312,12.335,10.951,8.64,4.623,4.326,8.853,2.554,6.122,7.177,7.122,3.963,12.709,11.516,9.355,5.03
"G417","channel",1,2,"carolinensis","m",60.79,1,4.4,6.47,3.852,5.693,9.422,9.491,11.468,5.045,2.302,7.193,5.935,9.125,6.552,30.435,1.778,3.509,17.545,15.767,12.258,6.393,6.234,12.594,2.692,8.369,9.614,9.327,5.391,18.037,16.442,13.167,6.938
"G418","channel",1,2,"carolinensis","f",43.09,1,1.4,4.17,2.485,4.065,6.592,6.463,8.342,4.253,1.672,4.715,4.095,6.503,4.596,21.484,1.205,2.162,11.152,9.946,7.785,3.656,4.357,8.377,2.388,5.765,6.357,6.344,3.57,11.518,10.44,8.409,4.069
"G419","osprey",0,0,"carolinensis","m",52.73,1,2.6,5.17,3.27,5.192,8.423,8.349,10.443,4.654,2.089,6.392,5.325,8.558,5.807,27.328,1.438,2.866,15.171,13.732,10.866,5.892,5.241,11.116,2.516,6.227,8.144,8.228,4.841,15.487,14.335,11.604,6.37
"G422","osprey",0,0,"carolinensis","m",59.36,1,3.2,5.89,3.477,5.502,9.013,9.021,11.347,5.338,2.125,6.963,5.908,9.23,6.292,29.339,1.808,3.252,17.233,15.425,12.173,6.582,5.995,13.1,2.464,8.085,9.149,9.331,4.833,17.701,16.115,13.004,7.012
"G423","osprey",0,0,"carolinensis","m",56.36,1,3.2,5.63,3.5,5.53,8.945,9.097,11.173,4.804,1.956,6.678,5.725,9.089,6.156,29.148,1.743,3.449,16.318,14.576,11.127,5.973,5.544,12.06,2.61,7.161,8.989,8.878,4.899,16.707,15.237,12,6.456
"G424","osprey",0,0,"carolinensis","m",51.95,1,2.5,5.2,3.269,5.099,8.217,8.364,10.372,4.361,2.058,6.296,5.566,8.35,4.997,26.957,1.571,3.19,15.045,13.474,10.284,5.476,5.14,11.046,2.192,6.38,7.903,7.999,4.286,15.379,14.055,11.017,5.881
"G431","hook",1,2,"carolinensis","m",53.46,1,2.7,5.43,3.251,5.118,8.164,8.342,10.277,4.838,2.034,6.243,5.199,8.374,5.209,26.81,1.677,3.013,14.544,12.867,9.854,4.942,5.192,10.158,2.303,7.087,8.035,8.406,4.69,14.969,13.536,10.641,5.471
"G432","hook",1,2,"carolinensis","m",60.28,1,4.1,6.62,3.522,5.878,9.132,9.393,11.581,5.443,2.369,7.112,6.168,9.426,6.628,30.113,1.831,3.779,17.406,15.574,11.795,6.418,5.784,12.413,2.421,8.228,9.492,9.492,5.235,17.885,16.281,12.714,6.931
"G435","hook",1,2,"carolinensis","m",56.2,1,3.5,5.94,3.234,5.868,8.877,8.794,11.064,5.098,2.226,7.073,5.793,8.911,5.997,29.043,1.733,3.368,15.775,14.042,10.674,5.48,5.538,11.441,2.595,6.827,8.941,8.746,5.098,16.14,14.707,11.572,6.044
"G436","pine",0,0,"carolinensis","m",53.37,1,2.2,5.03,3.346,4.975,8.17,8.262,10.168,4.523,1.833,6.374,5.297,8.323,5.535,26.659,1.442,2.785,14.134,12.692,9.907,5.27,4.875,10.362,2.563,5.964,7.467,7.566,4.457,14.445,13.244,10.587,5.722
"G438","channel",1,2,"carolinensis","m",59.18,0,3.3,6.16,3.419,5.455,8.839,8.864,11.209,5.123,2.313,6.814,5.902,9.264,6.178,28.922,1.963,3.226,17.289,15.327,12.101,6.169,6.309,12.693,2.652,7.867,9.44,9.213,5.149,17.731,16.004,12.989,6.684
"G439","channel",1,2,"carolinensis","m",50.22,1,2.1,5.15,2.964,5.054,7.573,7.661,9.726,4.238,1.949,5.691,4.88,7.851,5.404,25.317,1.64,2.791,14.05,12.411,9.62,4.755,5.162,10.289,2.448,6.621,7.85,7.696,4.392,14.435,12.993,10.389,5.238
"G440","channel",1,2,"carolinensis","f",44.35,1,1.7,4.48,2.499,4.057,6.466,6.565,8.358,4.279,1.664,4.746,4.183,6.937,4.669,21.38,1.119,2.367,11.397,10.278,7.911,3.857,4.331,8.5,2.316,5.427,6.789,6.329,3.741,11.716,10.755,8.609,4.287
"G441","channel",1,2,"carolinensis","m",59.44,1,3.8,6.25,3.748,5.862,8.947,9.045,11.257,5.05,2.247,6.907,6.012,9.439,6.518,29.814,1.824,3.5,16.987,15.163,11.663,5.834,6.142,12.243,2.14,8.072,9.313,9.379,5.454,17.459,15.871,12.558,6.44
"G442","channel",1,2,"carolinensis","m",56,1,3,5.73,3.428,5.594,8.856,8.822,11.006,4.926,2.074,6.52,5.641,8.854,6.318,28.884,1.836,3.117,16.312,14.476,11.359,5.916,5.743,11.112,2.382,7.163,8.611,8.412,4.973,16.701,15.075,12.148,6.417
"G443","channel",1,2,"carolinensis","m",56.24,1,3.2,5.98,3.382,5.558,8.868,9.064,11.508,4.86,2.145,6.81,5.921,8.977,6.843,29.316,1.724,3.225,15.904,14.18,10.955,5.453,5.833,11.743,2.198,7.218,8.551,8.942,4.69,16.308,14.868,11.76,5.937
"G444","channel",1,2,"carolinensis","m",54.9,1,2.7,5.19,3.073,4.986,7.881,7.837,10.225,4.902,2.128,6.117,5.144,8.307,6.105,26.165,1.66,3.195,15.73,14.07,10.875,5.766,5.436,11.14,2.071,7.07,8.304,8.194,4.591,16.122,14.655,11.641,6.207
"G445","channel",1,2,"carolinensis","m",57.32,1,2.8,5.64,3.458,5.619,8.981,8.958,11.573,4.772,2.064,7.035,6.111,9.096,6.425,29.631,1.759,3.346,16.376,14.617,11.271,6.107,5.487,11.702,2.565,7.857,8.625,8.532,4.921,16.841,15.227,12.068,6.584
"G447","channel",1,2,"carolinensis","m",60.83,1,4.2,6.13,3.467,5.654,8.902,8.981,11.203,5.08,2.208,6.69,5.805,8.942,6.349,29.226,1.836,3.62,17.364,15.528,11.908,6.032,6.28,12.926,2.795,8.112,9.541,9.279,5.118,17.832,16.206,12.828,6.552
"G448","yin",1,1,"carolinensis","m",60.52,0,4.1,5.96,3.536,5.388,9.247,9.38,11.444,5.309,2.068,6.9,5.847,9.033,6.216,29.615,2.033,3.445,16.594,14.56,11.116,5.723,5.733,12.39,2.516,8.026,9.279,9.672,5.414,17.072,15.343,12.045,6.331
"G449","yin",1,1,"carolinensis","m",57.56,1,3.3,5.76,3.594,5.469,8.733,8.715,10.7,4.902,2.144,6.828,5.474,8.799,6.346,28.496,1.948,3.514,16.883,14.935,11.421,6.047,5.733,11.799,2.673,7.371,8.812,8.753,4.822,17.281,15.563,12.241,6.51
"G451","pine",0,0,"carolinensis","f",48.27,1,2.1,4.53,2.859,4.411,7.314,7.351,9.411,4.878,1.907,5.367,4.813,7.486,5.071,23.995,1.435,2.483,12.656,11.221,8.738,4.491,4.483,9.064,2.578,6.415,7.062,7.078,4.194,13.056,11.766,9.425,4.956
"G452","pine",0,0,"carolinensis","m",52.83,1,2.2,5.1,3.172,5,8.218,8.282,10.295,4.359,1.996,6.046,5.21,8.542,4.977,26.685,1.693,3.385,15.314,13.621,10.236,5.576,4.949,11.134,2.128,6.251,7.676,7.713,4.347,15.629,14.156,10.932,5.984
"G457","pine",0,0,"carolinensis","m",55.3,1,2.9,5.66,3.321,5.43,8.522,8.506,10.563,5.219,2.147,6.299,5.419,8.407,6.177,27.836,1.767,3.439,15.82,14.053,10.614,5.637,5.284,11.456,2.767,7.441,8.317,8.317,4.775,16.251,14.656,11.4,6.122
"G460","pine",0,0,"carolinensis","f",45.5,1,1.9,4.24,2.611,4.047,6.775,6.781,8.806,4.258,1.601,4.871,4.208,6.91,5.109,22.239,1.246,2.168,11.114,9.868,7.7,3.607,4.292,7.982,2.405,5.788,6.54,6.459,3.952,11.484,10.383,8.366,4.113
"G461","pine",0,0,"carolinensis","f",47.05,1,2.2,4.32,2.845,4.523,7.202,7.287,9.215,4.76,1.666,5.633,4.711,7.523,5.12,23.785,1.342,2.555,12.394,11.052,8.497,4.299,4.434,9.159,2.645,6.842,7.213,7.146,4.356,12.858,11.615,9.231,4.82
"G464","pine",0,0,"carolinensis","f",47.02,1,2.1,4.55,2.692,4.203,6.892,6.737,8.757,4.704,1.79,5.003,4.117,6.744,4.776,22.544,1.346,2.318,11.554,10.208,7.889,3.843,4.285,8.406,2.693,6.2,6.797,6.733,3.978,11.963,10.749,8.591,4.327
"G466","pine",0,0,"carolinensis","m",56.16,1,3.2,5.66,3.324,5.338,8.767,8.892,11.16,5.29,2.126,6.69,5.75,8.633,6.01,28.589,1.757,3.236,16.523,14.765,11.529,6.235,5.595,11.808,2.38,7.146,8.38,8.285,4.769,16.904,15.335,12.266,6.676
"S005","yin",1,1,"carolinensis","m",55.17,1,3.5,6.04,3.358,5.803,8.592,8.464,10.651,4.729,2.352,6.3,5.619,8.578,6.341,28.404,1.544,3.552,15.98,14.436,10.884,5.81,5.482,11.122,2.535,7.551,8.798,8.821,4.648,16.42,15.095,11.739,6.258
"S009","yin",1,1,"carolinensis","f",50.23,1,2.7,5.34,2.986,4.655,7.203,6.91,9.007,5.156,1.993,5.439,4.739,7.623,5.627,23.851,1.391,2.679,12.484,11.093,8.414,3.924,4.814,9.236,2.363,5.994,7.507,7.339,4.049,12.838,11.684,9.213,4.416
"S013","yin",1,1,"carolinensis","m",54.62,1,3.5,5.77,3.33,5.37,8.52,8.476,10.764,5.078,2.264,6.455,5.805,8.834,6.049,27.984,1.817,3.505,16.223,14.405,10.901,5.735,5.559,12.072,2.279,7.474,9.089,8.784,4.983,16.648,15.06,11.811,6.253
"S015","yin",1,1,"carolinensis","m",59.01,1,3.8,6.59,3.601,5.844,8.837,9.05,11.309,5.097,2.479,6.675,5.885,9.093,6.369,29.591,1.821,3.503,16.04,14.219,10.716,5.379,5.745,11.449,2.326,8.265,9.592,9.386,5.343,16.564,14.973,11.74,6.006
"S020","yin",1,1,"carolinensis","f",47.69,1,2.7,5.13,2.551,4.652,7.153,6.976,8.965,5.021,1.85,5.059,5.21,6.949,5.834,23.321,1.451,2.568,12.088,10.637,8.07,3.982,4.432,8.898,2.628,6.691,7.321,7.728,3.908,12.543,11.317,8.861,4.436
"S022","yin",1,1,"carolinensis","f",49.54,1,2.6,5.11,2.749,4.858,7.085,7.105,9.138,4.998,1.909,4.852,5.066,7.116,4.988,23.83,1.089,2.431,11.844,10.755,8.324,3.8,7.222,8.324,2.364,5.687,7.154,7.173,4.106,12.18,11.337,9.06,4.319
"S023","yin",1,1,"carolinensis","m",53.9,1,3.2,5.99,3.312,5.396,8.388,8.108,10.438,5.209,2.612,6.428,5.905,8.444,5.972,27.534,1.8,3.354,14.901,13.101,9.747,4.78,5.447,10.488,2.234,7.116,8.668,8.579,4.213,15.32,13.786,10.667,5.223
"S034","line.cedars",1,1,"carolinensis","m",54.33,1,3.4,6.32,3.028,5.046,8.188,7.956,10.276,4.907,1.774,6.078,5.35,8.005,5.924,26.538,1.636,3.461,15.3,13.663,10.202,4.885,5.826,10.405,2.403,7.884,9.174,8.729,4.423,15.799,14.343,11.186,5.363
"S037","line.cedars",1,1,"carolinensis","f",46.01,1,1.7,4.66,2.775,4.656,7.168,7.046,8.739,4.139,1.766,5.072,4.503,6.895,4.855,23.338,1.079,2.334,11.537,10.459,8.125,3.988,4.391,8.806,2.263,5.589,6.79,6.926,3.877,11.871,11.017,8.806,4.434
"S040","line.cedars",1,1,"carolinensis","f",44.97,1,1.7,4.59,2.62,4.356,6.826,6.781,8.827,3.88,1.73,5.03,4.296,6.398,4.625,22.629,0.905,2.297,10.906,10,7.703,3.617,4.352,8.04,2.175,4.894,6.663,6.603,3.673,11.177,10.531,8.393,4.057
"S045","hornet",0,0,"carolinensis","f",48.93,1,2.1,4.89,2.787,4.548,6.945,6.904,8.707,4.247,1.732,5.166,4.718,7.054,4.984,22.987,0.942,2.361,11.155,10.213,7.853,3.574,4.539,8.304,2.231,5.458,6.669,6.943,3.638,11.484,10.787,8.531,4.01
"S046","hornet",0,0,"carolinensis","m",56.51,1,3.3,6.28,3.514,5.684,9.04,9.017,10.843,4.79,2.033,6.813,5.861,9.012,6.06,29.081,1.873,3.336,16.163,14.29,10.954,5.476,5.909,10.879,2.245,7.549,8.984,8.704,4.556,16.598,14.938,11.839,5.93
"S047","hornet",0,0,"carolinensis","m",60.54,1,4.4,6.84,3.503,5.888,8.915,9.188,11.406,5.189,2.146,6.96,6.135,9.35,6.465,29.712,1.662,3.606,16.677,15.015,11.409,5.865,5.906,11.539,1.685,8.36,9.309,9.507,5.259,17.193,15.749,12.322,6.427
"S049","hornet",0,0,"carolinensis","f",50.61,1,2.5,4.87,3.025,4.836,7.088,7.083,9.216,4.915,2.066,5.485,4.798,7.451,5.086,24.165,1.151,2.56,12.368,11.217,8.657,4.31,4.608,8.623,2.159,6.291,7.085,6.809,4.042,12.761,11.722,9.354,4.76
"S050","hornet",0,0,"carolinensis","m",55.11,1,3.5,5.97,3.539,5.92,8.809,8.929,10.804,5.337,2.537,6.807,6.108,9.074,5.917,29.072,1.962,3.408,16.21,14.248,10.84,5.621,5.661,11.037,2.091,8.308,9.16,9.373,4.773,16.734,14.999,11.767,6.107
"S051","yin",1,1,"carolinensis","f",49.24,1,2.4,4.96,2.925,4.688,7.445,7.383,9.395,4.927,2.146,5.659,4.965,7.239,5.186,24.453,1.13,2.269,12.151,11.021,8.753,4.231,4.805,8.419,2.097,5.394,6.953,7.392,3.719,12.447,11.625,9.418,4.622
"S053","hook",1,2,"carolinensis","m",60.09,1,4.3,6.17,3.477,5.497,8.87,8.927,10.782,5.602,2.359,6.729,5.992,8.286,7.163,28.626,1.935,3.648,17.107,15.172,11.524,6.092,5.826,11.76,2.352,8.441,9.413,9.458,5.202,17.62,15.892,12.448,6.625
"S055","hook",1,2,"carolinensis","m",59.12,1,3.6,6.39,3.368,5.255,8.678,8.447,11.29,5.362,2.067,6.745,5.936,8.629,5.815,28.591,1.747,3.606,16.541,14.794,11.188,5.68,5.948,11.306,2.06,7.772,9.139,9.035,4.65,16.991,15.468,12.085,6.137
